CP;Provincia;Localidad;Cod_Provincia;
1001;Capital Federal;CABA - Retiro;0;
1002;Capital Federal;CABA - Monserrat;0;
1003;Capital Federal;CABA - San Nicolas;0;
1004;Capital Federal;CABA - San Nicolas;0;
1005;Capital Federal;CABA - San Nicolas;0;
1006;Capital Federal;CABA - Retiro;0;
1007;Capital Federal;CABA - Retiro;0;
1008;Capital Federal;CABA - Monserrat;0;
1009;Capital Federal;CABA - San Nicolas;0;
1010;Capital Federal;CABA - San Nicolas;0;
1011;Capital Federal;CABA - Retiro;0;
1012;Capital Federal;CABA - Monserrat;0;
1013;Capital Federal;CABA - San Nicolas;0;
1014;Capital Federal;CABA - Recoleta;0;
1015;Capital Federal;CABA - San Nicolas;0;
1016;Capital Federal;CABA - Recoleta;0;
1017;Capital Federal;CABA - San Nicolas;0;
1018;Capital Federal;CABA - Recoleta;0;
1019;Capital Federal;CABA - Recoleta;0;
1020;Capital Federal;CABA - Recoleta;0;
1021;Capital Federal;CABA - Recoleta;0;
1022;Capital Federal;CABA - Recoleta;0;
1023;Capital Federal;CABA - Balvanera;0;
1024;Capital Federal;CABA - Balvanera;0;
1025;Capital Federal;CABA - Recoleta;0;
1026;Capital Federal;CABA - Balvanera;0;
1027;Capital Federal;CABA - Balvanera;0;
1028;Capital Federal;CABA - Balvanera;0;
1029;Capital Federal;CABA - Balvanera;0;
1030;Capital Federal;CABA - Balvanera;0;
1031;Capital Federal;CABA - Balvanera;0;
1032;Capital Federal;CABA - Balvanera;0;
1033;Capital Federal;CABA - Monserrat;0;
1034;Capital Federal;CABA - Balvanera;0;
1035;Capital Federal;CABA - Monserrat;0;
1036;Capital Federal;CABA - San Nicolas;0;
1037;Capital Federal;CABA - San Nicolas;0;
1038;Capital Federal;CABA - San Nicolas;0;
1039;Capital Federal;CABA - Balvanera;0;
1040;Capital Federal;CABA - Balvanera;0;
1041;Capital Federal;CABA - San Nicolas;0;
1042;Capital Federal;CABA - San Nicolas;0;
1043;Capital Federal;CABA - San Nicolas;0;
1044;Capital Federal;CABA - Balvanera;0;
1045;Capital Federal;CABA - Balvanera;0;
1046;Capital Federal;CABA - Balvanera;0;
1047;Capital Federal;CABA - San Nicolas;0;
1048;Capital Federal;CABA - San Nicolas;0;
1049;Capital Federal;CABA - San Nicolas;0;
1050;Capital Federal;CABA - Balvanera;0;
1051;Capital Federal;CABA - Balvanera;0;
1052;Capital Federal;CABA - Balvanera;0;
1053;Capital Federal;CABA - San Nicolas;0;
1054;Capital Federal;CABA - Retiro;0;
1055;Capital Federal;CABA - San Nicolas;0;
1056;Capital Federal;CABA - Recoleta;0;
1057;Capital Federal;CABA - Retiro;0;
1058;Capital Federal;CABA - Retiro;0;
1059;Capital Federal;CABA - Retiro;0;
1060;Capital Federal;CABA - Recoleta;0;
1061;Capital Federal;CABA - Recoleta;0;
1062;Capital Federal;CABA - San Nicolas;0;
1063;Capital Federal;CABA - San Telmo;0;
1064;Capital Federal;CABA - San Telmo;0;
1065;Capital Federal;CABA - San Telmo;0;
1066;Capital Federal;CABA - San Telmo;0;
1067;Capital Federal;CABA - Monserrat;0;
1068;Capital Federal;CABA - Constitucion;0;
1069;Capital Federal;CABA - San Telmo;0;
1070;Capital Federal;CABA - San Telmo;0;
1071;Capital Federal;CABA - Constitucion;0;
1072;Capital Federal;CABA - Constitucion;0;
1073;Capital Federal;CABA - Constitucion;0;
1074;Capital Federal;CABA - Constitucion;0;
1075;Capital Federal;CABA - Constitucion;0;
1076;Capital Federal;CABA - Constitucion;0;
1077;Capital Federal;CABA - Constitucion;0;
1078;Capital Federal;CABA - Constitucion;0;
1079;Capital Federal;CABA - Monserrat;0;
1080;Capital Federal;CABA - Balvanera;0;
1081;Capital Federal;CABA - Balvanera;0;
1082;Capital Federal;CABA - Balvanera;0;
1083;Capital Federal;CABA - Balvanera;0;
1084;Capital Federal;CABA - Monserrat;0;
1085;Capital Federal;CABA - Monserrat;0;
1086;Capital Federal;CABA - Monserrat;0;
1087;Capital Federal;CABA - Monserrat;0;
1088;Capital Federal;CABA - Monserrat;0;
1089;Capital Federal;CABA - Monserrat;0;
1090;Capital Federal;CABA - Balvanera;0;
1091;Capital Federal;CABA - Monserrat;0;
1092;Capital Federal;CABA - Monserrat;0;
1093;Capital Federal;CABA - Monserrat;0;
1094;Capital Federal;CABA - Balvanera;0;
1095;Capital Federal;CABA - Monserrat;0;
1096;Capital Federal;CABA - Monserrat;0;
1097;Capital Federal;CABA - Monserrat;0;
1098;Capital Federal;CABA - San Telmo;0;
1099;Capital Federal;CABA - San Telmo;0;
1100;Capital Federal;CABA - Constitucion;0;
1101;Capital Federal;CABA - San Telmo;0;
1102;Capital Federal;CABA - San Telmo;0;
1103;Capital Federal;CABA - San Telmo;0;
1104;Capital Federal;CABA - Zona Puerto;0;
1105;Capital Federal;CABA - Comunicaciones;0;
1106;Capital Federal;CABA - Zona Puerto;0;
1107;Capital Federal;CABA - Zona Puerto;0;
1108;Capital Federal;CABA - Monserrat;0;
1109;Capital Federal;CABA - Monserrat;0;
1110;Capital Federal;CABA - Monserrat;0;
1111;Capital Federal;CABA - Recoleta;0;
1112;Capital Federal;CABA - Recoleta;0;
1113;Capital Federal;CABA - Recoleta;0;
1114;Capital Federal;CABA - Recoleta;0;
1115;Capital Federal;CABA - Recoleta;0;
1116;Capital Federal;CABA - Recoleta;0;
1117;Capital Federal;CABA - Recoleta;0;
1118;Capital Federal;CABA - Recoleta;0;
1119;Capital Federal;CABA - Recoleta;0;
1120;Capital Federal;CABA - Recoleta;0;
1121;Capital Federal;CABA - Recoleta;0;
1122;Capital Federal;CABA - Recoleta;0;
1123;Capital Federal;CABA - Recoleta;0;
1124;Capital Federal;CABA - Recoleta;0;
1125;Capital Federal;CABA - Recoleta;0;
1126;Capital Federal;CABA - Recoleta;0;
1127;Capital Federal;CABA - Recoleta;0;
1128;Capital Federal;CABA - Recoleta;0;
1129;Capital Federal;CABA - Recoleta;0;
1130;Capital Federal;CABA - Constitucion;0;
1131;Capital Federal;Ciudad Autonoma Buenos Aires;0;
1132;Capital Federal;Ciudad Autonoma Buenos Aires;0;
1133;Capital Federal;CABA - Constitucion;0;
1134;Capital Federal;CABA - Constitucion;0;
1135;Capital Federal;CABA - Constitucion;0;
