COMPROING	NROCOMPROING	CAJA	RAZÓN
RB	100096783	1000005	FACTURA_NO_ENCONTRADA
RB	100096784	1000005	FACTURA_NO_ENCONTRADA
RB	100096793	1000007	FACTURA_NO_ENCONTRADA
RB	100096797	1000007	FACTURA_NO_ENCONTRADA
RB	100096826	1000007	FACTURA_NO_ENCONTRADA
RB	100096832	1000007	FACTURA_NO_ENCONTRADA
RB	100096832	1000007	FACTURA_NO_ENCONTRADA
RB	100096835	1000007	FACTURA_NO_ENCONTRADA
RB	100096836	1000007	FACTURA_NO_ENCONTRADA
RB	100096842	1000007	FACTURA_NO_ENCONTRADA
RB	100096853	1000010	FACTURA_NO_ENCONTRADA
RB	100096853	1000010	FACTURA_NO_ENCONTRADA
RB	100096853	1000010	FACTURA_NO_ENCONTRADA
RB	100096859	1000010	FACTURA_NO_ENCONTRADA
RB	100097024	1000011	FACTURA_NO_ENCONTRADA
RB	100097046	1000012	FACTURA_NO_ENCONTRADA
RB	100097053	1000012	FACTURA_NO_ENCONTRADA
RB	100097081	1000014	FACTURA_NO_ENCONTRADA
RB	100097090	1000015	FACTURA_NO_ENCONTRADA
RB	100097090	1000015	FACTURA_NO_ENCONTRADA
RB	100097090	1000015	FACTURA_NO_ENCONTRADA
RB	100097090	1000015	FACTURA_NO_ENCONTRADA
RB	100097090	1000015	FACTURA_NO_ENCONTRADA
RB	100097090	1000015	FACTURA_NO_ENCONTRADA
RB	100097090	1000015	FACTURA_NO_ENCONTRADA
RB	100097090	1000015	FACTURA_NO_ENCONTRADA
RB	100097097	1000015	FACTURA_NO_ENCONTRADA
RB	100097098	1000015	FACTURA_NO_ENCONTRADA
RB	100097102	1000015	FACTURA_NO_ENCONTRADA
RB	100097102	1000015	FACTURA_NO_ENCONTRADA
RB	100097141	1000017	FACTURA_NO_ENCONTRADA
RB	100097142	1000017	FACTURA_NO_ENCONTRADA
RB	100097145	1000017	FACTURA_NO_ENCONTRADA
RB	100097145	1000017	FACTURA_NO_ENCONTRADA
RB	100097154	1000018	FACTURA_NO_ENCONTRADA
RB	100097154	1000018	FACTURA_NO_ENCONTRADA
RB	100097155	1000018	FACTURA_NO_ENCONTRADA
RB	100097158	1000018	FACTURA_NO_ENCONTRADA
RB	100097159	1000018	FACTURA_NO_ENCONTRADA
RB	100097159	1000018	FACTURA_NO_ENCONTRADA
RB	100097159	1000018	FACTURA_NO_ENCONTRADA
RB	100097164	1000019	FACTURA_NO_ENCONTRADA
RB	100097177	1000019	FACTURA_NO_ENCONTRADA
RB	100097188	1000021	FACTURA_NO_ENCONTRADA
RB	100097189	1000021	FACTURA_NO_ENCONTRADA
RB	100097201	1000022	FACTURA_NO_ENCONTRADA
RB	100097201	1000022	FACTURA_NO_ENCONTRADA
RB	100097201	1000022	FACTURA_NO_ENCONTRADA
RB	100097205	1000022	FACTURA_NO_ENCONTRADA
RB	100097207	1000022	FACTURA_NO_ENCONTRADA
RB	100097211	1000022	FACTURA_NO_ENCONTRADA
RB	100097212	1000022	FACTURA_NO_ENCONTRADA
RB	100097213	1000022	FACTURA_NO_ENCONTRADA
RB	100097213	1000022	FACTURA_NO_ENCONTRADA
RB	100097217	1000023	FACTURA_NO_ENCONTRADA
RB	100097235	1000023	FACTURA_NO_ENCONTRADA
RB	100097235	1000023	FACTURA_NO_ENCONTRADA
RB	100097235	1000023	FACTURA_NO_ENCONTRADA
RB	100097236	1000023	FACTURA_NO_ENCONTRADA
RB	100097244	1000024	FACTURA_NO_ENCONTRADA
RB	100097244	1000024	FACTURA_NO_ENCONTRADA
RB	100097273	1000026	FACTURA_NO_ENCONTRADA
RB	100097277	1000026	FACTURA_NO_ENCONTRADA
RB	100097280	1000026	FACTURA_NO_ENCONTRADA
RB	100097280	1000026	FACTURA_NO_ENCONTRADA
RB	100097280	1000026	FACTURA_NO_ENCONTRADA
RB	100097284	1000026	FACTURA_NO_ENCONTRADA
RB	100097284	1000026	FACTURA_NO_ENCONTRADA
RB	100097295	1000027	FACTURA_NO_ENCONTRADA
RB	100097296	1000027	FACTURA_NO_ENCONTRADA
RB	100097297	1000027	FACTURA_NO_ENCONTRADA
RB	100097303	1000028	FACTURA_NO_ENCONTRADA
RB	100097304	1000028	FACTURA_NO_ENCONTRADA
RB	100097321	1000028	FACTURA_NO_ENCONTRADA
RB	100097321	1000028	FACTURA_NO_ENCONTRADA
RB	100097321	1000028	FACTURA_NO_ENCONTRADA
RB	100097321	1000028	FACTURA_NO_ENCONTRADA
RB	100097321	1000028	FACTURA_NO_ENCONTRADA
RB	100097322	1000028	FACTURA_NO_ENCONTRADA
RB	100097328	1000028	FACTURA_NO_ENCONTRADA
RB	100097336	1000029	FACTURA_NO_ENCONTRADA
RB	100097352	1000029	FACTURA_NO_ENCONTRADA
RB	100097352	1000029	FACTURA_NO_ENCONTRADA
RB	100097362	1000030	FACTURA_NO_ENCONTRADA
RB	100097362	1000030	FACTURA_NO_ENCONTRADA
RB	100097362	1000030	FACTURA_NO_ENCONTRADA
RB	100097363	1000030	FACTURA_NO_ENCONTRADA
RB	100097363	1000030	FACTURA_NO_ENCONTRADA
RB	100097365	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097367	1000030	FACTURA_NO_ENCONTRADA
RB	100097368	1000030	FACTURA_NO_ENCONTRADA
RB	100097382	1000031	FACTURA_NO_ENCONTRADA
RB	100097383	1000031	FACTURA_NO_ENCONTRADA
RB	100097391	1000031	FACTURA_NO_ENCONTRADA
RB	100097391	1000031	FACTURA_NO_ENCONTRADA
RB	100097394	1000031	FACTURA_NO_ENCONTRADA
RB	100097403	1000032	FACTURA_NO_ENCONTRADA
RB	100097403	1000032	FACTURA_NO_ENCONTRADA
RB	100097403	1000032	FACTURA_NO_ENCONTRADA
RB	100097407	1000032	FACTURA_NO_ENCONTRADA
RB	100097425	1000033	FACTURA_NO_ENCONTRADA
RB	100097425	1000033	FACTURA_NO_ENCONTRADA
RB	100097427	1000033	FACTURA_NO_ENCONTRADA
RB	100097427	1000033	FACTURA_NO_ENCONTRADA
RB	100097428	1000033	FACTURA_NO_ENCONTRADA
RB	100097430	1000033	FACTURA_NO_ENCONTRADA
RB	100097430	1000033	FACTURA_NO_ENCONTRADA
RB	100097430	1000033	FACTURA_NO_ENCONTRADA
RB	100097430	1000033	FACTURA_NO_ENCONTRADA
RB	100097430	1000033	FACTURA_NO_ENCONTRADA
RB	100097433	1000033	FACTURA_NO_ENCONTRADA
RB	100097433	1000033	FACTURA_NO_ENCONTRADA
RB	100097433	1000033	FACTURA_NO_ENCONTRADA
RB	100097433	1000033	FACTURA_NO_ENCONTRADA
RB	100097444	1000033	FACTURA_NO_ENCONTRADA
RB	100097466	1000035	FACTURA_NO_ENCONTRADA
RB	100097467	1000035	FACTURA_NO_ENCONTRADA
RB	100097468	1000035	FACTURA_NO_ENCONTRADA
RB	100097472	1000036	FACTURA_NO_ENCONTRADA
RB	100097520	1000036	FACTURA_NO_ENCONTRADA
RB	100097527	1000036	FACTURA_NO_ENCONTRADA
RB	100097527	1000036	FACTURA_NO_ENCONTRADA
RB	100097527	1000036	FACTURA_NO_ENCONTRADA
RB	100097527	1000036	FACTURA_NO_ENCONTRADA
RB	100097567	1000037	FACTURA_NO_ENCONTRADA
RB	100097577	1000037	FACTURA_NO_ENCONTRADA
RB	100097593	1000037	FACTURA_NO_ENCONTRADA
RB	100097594	1000037	FACTURA_NO_ENCONTRADA
RB	100097595	1000037	FACTURA_NO_ENCONTRADA
RB	100097596	1000037	FACTURA_NO_ENCONTRADA
RB	100097597	1000037	FACTURA_NO_ENCONTRADA
RB	100097600	1000039	FACTURA_NO_ENCONTRADA
RB	100097602	1000039	FACTURA_NO_ENCONTRADA
RB	100097602	1000039	FACTURA_NO_ENCONTRADA
RB	100097602	1000039	FACTURA_NO_ENCONTRADA
RB	100097609	1000040	FACTURA_NO_ENCONTRADA
RB	100097610	1000040	FACTURA_NO_ENCONTRADA
RB	100097610	1000040	FACTURA_NO_ENCONTRADA
RB	100097616	1000040	FACTURA_NO_ENCONTRADA
RB	100097632	1000041	FACTURA_NO_ENCONTRADA
RB	100097632	1000041	FACTURA_NO_ENCONTRADA
RB	100097637	1000041	FACTURA_NO_ENCONTRADA
RB	100097640	1000041	FACTURA_NO_ENCONTRADA
RB	100097640	1000041	FACTURA_NO_ENCONTRADA
RB	100097644	1000041	FACTURA_NO_ENCONTRADA
RB	100097645	1000041	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097652	1000042	FACTURA_NO_ENCONTRADA
RB	100097657	1000042	FACTURA_NO_ENCONTRADA
RB	100097659	1000043	FACTURA_NO_ENCONTRADA
RE	1000072245	1000043	FACTURA_NO_ENCONTRADA
RE	1000072833	1000044	FACTURA_NO_ENCONTRADA
RE	1000072833	1000044	FACTURA_NO_ENCONTRADA
RE	1000072833	1000044	FACTURA_NO_ENCONTRADA
RE	1000072833	1000044	FACTURA_NO_ENCONTRADA
RE	1000072834	1000044	FACTURA_NO_ENCONTRADA
RE	1000072835	1000044	FACTURA_NO_ENCONTRADA
RE	1000072835	1000044	FACTURA_NO_ENCONTRADA
RE	1000072835	1000044	FACTURA_NO_ENCONTRADA
RE	1000072836	1000044	FACTURA_NO_ENCONTRADA
RE	1000072840	1000044	FACTURA_NO_ENCONTRADA
RE	1000072840	1000044	FACTURA_NO_ENCONTRADA
RE	1000072842	1000044	FACTURA_NO_ENCONTRADA
RB	100097675	1000044	FACTURA_NO_ENCONTRADA
RB	100097675	1000044	FACTURA_NO_ENCONTRADA
RE	1000072843	1000044	FACTURA_NO_ENCONTRADA
RE	1000072843	1000044	FACTURA_NO_ENCONTRADA
RE	1000072843	1000044	FACTURA_NO_ENCONTRADA
RE	1000072843	1000044	FACTURA_NO_ENCONTRADA
RE	1000072844	1000044	FACTURA_NO_ENCONTRADA
RB	100097676	1000044	FACTURA_NO_ENCONTRADA
RB	100097676	1000044	FACTURA_NO_ENCONTRADA
RB	100097677	1000044	FACTURA_NO_ENCONTRADA
RB	100097677	1000044	FACTURA_NO_ENCONTRADA
RB	100097679	1000044	FACTURA_NO_ENCONTRADA
RB	100097682	1000044	FACTURA_NO_ENCONTRADA
RB	100097682	1000044	FACTURA_NO_ENCONTRADA
RB	100097686	1000046	FACTURA_NO_ENCONTRADA
RB	100097687	1000046	FACTURA_NO_ENCONTRADA
RB	100097699	1000047	FACTURA_NO_ENCONTRADA
RB	100097699	1000047	FACTURA_NO_ENCONTRADA
RB	100097699	1000047	FACTURA_NO_ENCONTRADA
RB	100097699	1000047	FACTURA_NO_ENCONTRADA
RB	100097700	1000047	FACTURA_NO_ENCONTRADA
RB	100097700	1000047	FACTURA_NO_ENCONTRADA
RB	100097700	1000047	FACTURA_NO_ENCONTRADA
RB	100097700	1000047	FACTURA_NO_ENCONTRADA
RB	100097703	1000047	FACTURA_NO_ENCONTRADA
RB	100097708	1000047	FACTURA_NO_ENCONTRADA
RB	100097714	1000047	FACTURA_NO_ENCONTRADA
RB	100097714	1000047	FACTURA_NO_ENCONTRADA
RB	100097726	1000048	FACTURA_NO_ENCONTRADA
RB	100097729	1000049	FACTURA_NO_ENCONTRADA
RB	100097729	1000049	FACTURA_NO_ENCONTRADA
RB	100097734	1000049	FACTURA_NO_ENCONTRADA
RB	100097735	1000049	FACTURA_NO_ENCONTRADA
RB	100097747	1000050	FACTURA_NO_ENCONTRADA
RB	100097747	1000050	FACTURA_NO_ENCONTRADA
RB	100097747	1000050	FACTURA_NO_ENCONTRADA
RB	100097747	1000050	FACTURA_NO_ENCONTRADA
RB	100097748	1000050	FACTURA_NO_ENCONTRADA
RB	100097751	1000050	FACTURA_NO_ENCONTRADA
RB	100097752	1000050	FACTURA_NO_ENCONTRADA
RB	100097752	1000050	FACTURA_NO_ENCONTRADA
RB	100097769	1000052	FACTURA_NO_ENCONTRADA
RB	100097769	1000052	FACTURA_NO_ENCONTRADA
RB	100097769	1000052	FACTURA_NO_ENCONTRADA
RB	100097770	1000052	FACTURA_NO_ENCONTRADA
RB	100097772	1000052	FACTURA_NO_ENCONTRADA
RR	100097773	1000052	FACTURA_NO_ENCONTRADA
RB	100097784	1000053	FACTURA_NO_ENCONTRADA
RB	100097789	1000053	FACTURA_NO_ENCONTRADA
RB	100097789	1000053	FACTURA_NO_ENCONTRADA
RB	100097790	1000053	FACTURA_NO_ENCONTRADA
RB	100097792	1000053	FACTURA_NO_ENCONTRADA
RB	100097796	1000053	FACTURA_NO_ENCONTRADA
RB	100097798	1000053	FACTURA_NO_ENCONTRADA
